share_code,company_name,industry_group,listing_date,market_cap,opening_time,minutes_per_day,blue_chip,yahoo_status,missing_dates,delisted_date,trading_halt_dates
1AD.AX,ADALTA LIMITED,pharmaceuticals_biotechnology_and_life_sciences,2016-08-22,22556521.0,10:00:00,360.0,zz_not_yet_tagged,downloaded,,,
1AG.AX,ALTERRA LIMITED,food_beverage_and_tobacco,2008-05-16,9166617.0,10:00:00,360.0,zz_not_yet_tagged,downloaded,2020-08-17 2020-09-09 2020-09-10 2020-09-11 2020-09-14 2020-09-28 2020-09-29 2020-10-01 2020-10-02 2020-10-05 2020-10-14 2020-10-21 2020-11-02 2020-11-03 2020-11-17 2020-11-18 2020-11-19 2020-11-20 2020-11-23 2020-11-24 2020-11-25 2020-11-26 2020-11-27 2020-11-30 2020-12-03 2020-12-04 2020-12-07 2020-12-08 2020-12-10 2020-12-11 2020-12-15 2020-12-29 2020-12-30 2020-12-31 2021-01-11 2021-01-22 2021-01-28 2021-01-29 2021-02-08 2021-02-17 2021-02-22 2021-02-24 2021-03-03 2021-03-18 2021-03-24 2021-03-30 2021-03-31 2021-04-07 2021-04-15 2021-04-28 2021-04-29 2021-05-11 2021-05-12 2021-06-01 2021-06-02 2021-06-03 2021-06-09 2021-06-16 2021-06-22 2021-06-23 2021-07-07 2021-07-08 2021-08-13,,
1ST.AX,1ST GROUP LIMITED,health_care_equipment_and_services,2015-06-09,8060415.0,10:00:00,360.0,zz_not_yet_tagged,downloaded,2021-03-30 2021-08-05,,
1VG.AX,VICTORY GOLDFIELDS LIMITED,materials,2021-07-22,9406886.0,10:00:00,360.0,zz_not_yet_tagged,downloaded,,,
29M.AX,29METALS LIMITED,materials,2021-07-02,1249183000.0,10:00:00,360.0,zz_not_yet_tagged,downloaded,,,
2BE.AX,TUBI LIMITED,energy,2019-06-14,0.0,10:00:00,360.0,zz_not_yet_tagged,downloaded,2020-09-23 2020-10-08 2020-11-13 2020-11-16 2021-01-13 2021-02-19 2021-03-23 2021-04-07 2021-04-08 2021-04-09 2021-04-12 2021-04-13 2021-04-14 2021-04-15 2021-04-16 2021-04-19 2021-04-20 2021-04-21 2021-04-22 2021-04-23 2021-04-26 2021-04-27 2021-04-28 2021-04-29 2021-04-30 2021-05-03 2021-05-04 2021-05-05 2021-05-06 2021-05-07 2021-05-10 2021-05-11 2021-05-12 2021-05-13 2021-05-14 2021-05-17 2021-05-18 2021-05-19 2021-05-20 2021-05-21 2021-05-24 2021-05-25 2021-05-26 2021-05-27 2021-05-28 2021-05-31 2021-06-01 2021-06-02 2021-06-03 2021-06-04 2021-06-07 2021-06-08 2021-06-09 2021-06-10 2021-06-11 2021-06-15 2021-06-16 2021-06-17 2021-06-18 2021-06-21 2021-06-22 2021-06-23 2021-06-24 2021-06-25 2021-06-28 2021-06-29 2021-06-30 2021-07-01 2021-07-02 2021-07-05 2021-07-06 2021-07-07 2021-07-08 2021-07-09 2021-07-13 2021-07-14 2021-07-15 2021-07-16 2021-07-19 2021-07-21 2021-07-22 2021-07-23 2021-07-26 2021-07-27 2021-07-28 2021-07-30 2021-08-02 2021-08-03 2021-08-04 2021-08-05 2021-08-06 2021-08-09 2021-08-10 2021-08-11 2021-08-12 2021-08-13 2021-08-16,,
360.AX,LIFE360 INC.,software_and_services,2019-05-10,1623413726.0,10:00:00,360.0,zz_not_yet_tagged,downloaded,,,
3DA.AX,AMAERO INTERNATIONAL LTD,capital_goods,2019-12-06,81115298.0,10:00:00,360.0,zz_not_yet_tagged,downloaded,2020-12-04,,
3DP.AX,POINTERRA LIMITED,software_and_services,2008-03-27,284678606.0,10:00:00,360.0,zz_not_yet_tagged,downloaded,,,
3MF.AX,3D METALFORGE LIMITED,commercial_and_professional_services,2021-03-02,25666103.0,10:00:00,360.0,zz_not_yet_tagged,downloaded,2021-08-05,,
3PL.AX,3P LEARNING LIMITED..,consumer_services,2014-07-09,367723946.0,10:00:00,360.0,zz_not_yet_tagged,downloaded,2020-09-24 2020-12-18 2020-12-31 2021-08-11 2021-08-12,,
4DS.AX,4DS MEMORY LIMITED,semiconductors_and_semiconductor_equipment,2010-12-09,0.0,10:00:00,360.0,zz_not_yet_tagged,downloaded,2021-01-29 2021-08-16,,
4DX.AX,4DMEDICAL LIMITED,health_care_equipment_and_services,2020-08-07,394619062.0,10:00:00,360.0,zz_not_yet_tagged,downloaded,2021-03-01 2021-03-02 2021-03-03,,
5GG.AX,PENTANET LIMITED,telecommunication_services,2021-01-29,197514468.0,10:00:00,360.0,zz_not_yet_tagged,downloaded,2021-06-17,,
5GN.AX,5G NETWORKS LIMITED,telecommunication_services,2017-11-17,115834678.0,10:00:00,360.0,zz_not_yet_tagged,downloaded,,,
88E.AX,88 ENERGY LIMITED,energy,2000-01-20,432012120.0,10:00:00,360.0,zz_not_yet_tagged,downloaded,2021-02-11,,
8AU.AX,8 AU LIMITED,class_pend,2000-01-01,0.0,10:00:00,360.0,zz_not_yet_tagged,,,,
8CO.AX,8COMMON LIMITED,software_and_services,2014-08-27,37665159.0,10:00:00,360.0,zz_not_yet_tagged,downloaded,2020-10-21 2021-07-23 2021-07-26 2021-07-27 2021-07-28,,
